region,product_category,quarter,units_sold,revenue,target,profit_margin,store_rating
North,Electronics,Q1,90,27000,25000,22.5,4.2
North,Electronics,Q2,100,30000,28000,24.1,4.5
North,Clothing,Q1,160,12000,11000,18,3.8
North,Clothing,Q2,170,12750,11500,16.5,3.9
North,Food,Q1,260,7800,7500,12,4
North,Food,Q2,270,8100,7800,13.5,4.2
North,Home,Q1,70,17500,16000,25,4.3
North,Home,Q2,80,20000,18500,26.5,4.4
North,Sports,Q1,110,13200,12000,19,4
North,Sports,Q2,120,14400,13000,20.5,4.1
South,Electronics,Q1,85,25500,24000,21,3.9
South,Electronics,Q2,90,27000,25000,22,4
South,Clothing,Q1,155,11625,10500,17,4.2
South,Clothing,Q2,160,12000,11000,18,4.3
South,Food,Q1,255,7650,7200,11.5,3.7
South,Food,Q2,260,7800,7400,12.5,3.9
South,Home,Q1,65,16250,15000,24,4.1
South,Home,Q2,70,17500,16000,25,4.2
South,Sports,Q1,105,12600,11500,18.5,3.8
South,Sports,Q2,110,13200,12000,19.5,3.9
East,Electronics,Q1,80,24000,22000,20,4
East,Electronics,Q2,85,25500,23500,21.5,4.1
East,Clothing,Q1,150,11250,10000,16,4
East,Clothing,Q2,155,11625,10500,17,4.2
East,Food,Q1,250,7500,7000,10,3.5
East,Food,Q2,255,7650,7200,11,3.6
East,Home,Q1,60,15000,14000,22,3.8
East,Home,Q2,65,16250,15000,23,3.9
East,Sports,Q1,100,12000,11000,17.5,3.7
East,Sports,Q2,105,12600,11500,18.5,3.8
West,Electronics,Q1,85,25500,23000,21.5,4.1
West,Electronics,Q2,95,28500,26000,23,4.3
West,Clothing,Q1,155,11625,10500,17,4
West,Clothing,Q2,165,12375,11200,18.5,4.2
West,Food,Q1,255,7650,7000,11.5,3.8
West,Food,Q2,265,7950,7300,12.5,4
West,Home,Q1,65,16250,15000,24,4
West,Home,Q2,75,18750,17000,25.5,4.2
West,Sports,Q1,105,12600,11500,18.5,3.9
West,Sports,Q2,115,13800,12500,19.5,4.1
